,Area_Operated,Num_of_Operations,Acres_Operated,Cows_for_Milk,Cows_Beef,Calves,Milk_Per_head,Total_Milk_production
0,207,"41,600","8,600,000","7,000","693,000","1,300,000","13,429","94,000,000"
1,212,"40,600","8,600,000","6,000","714,000","1,340,000","15,000","90,000,000"
2,214,"39,700","8,500,000","5,000","705,000","1,300,000","14,600","73,000,000"
3,214,"38,800","8,300,000","4,000","696,000","1,300,000","12,000","60,000,000"
4,213,"39,000","8,300,000","3,000","697,000","1,290,000","15,000","45,000,000"
5,904,940,"850,000",300,"4,700","13,000","11,667","3,500,000"
6,850,"1,000","850,000",300,"6,100","15,000","9,667","2,900,000"
7,850,"1,000","850,000",200,"6,800","16,000","9,333","2,800,000"
8,"1,359","19,200","26,100,000","205,000","195,000","990,000","24,065","4,837,000,000"
9,"1,366","19,100","26,100,000","210,000","200,000","1,020,000","24,197","5,033,000,000"
10,"1,365","19,200","26,200,000","205,000","215,000","1,020,000","23,909","4,973,000,000"
11,"1,379","19,000","26,200,000","196,000","194,000","960,000","24,096","4,771,000,000"
12,"1,379","19,000","26,200,000","196,000","194,000","980,000","24,568","4,889,000,000"
13,321,"43,300","13,900,000","6,000","914,000","1,750,000","13,667","82,000,000"
14,326,"42,600","13,900,000","6,000","924,000","1,760,000","13,333","80,000,000"
15,327,"42,500","13,900,000","5,000","935,000","1,780,000","12,333","74,000,000"
16,331,"42,300","14,000,000","5,000","915,000","1,730,000","13,400","67,000,000"
17,332,"42,200","14,000,000","5,000","925,000","1,770,000","12,800","64,000,000"
18,347,"71,400","24,800,000","1,755,000","655,000","5,150,000",10,"22,968"
19,348,"70,500","24,500,000","1,740,000","670,000","5,200,000",9,"22,755"
20,350,"69,400","24,300,000","1,730,000","630,000","5,150,000",10,"23,301"
21,348,"69,900","24,300,000","1,725,000","655,000","5,150,000",9,"23,533"
22,349,"69,600","24,300,000","1,720,000","670,000","5,150,000",10,"23,987"
23,839,"37,800","31,700,000","157,000","803,000","2,850,000","25,654","3,925,000,000"
24,817,"38,900","31,800,000","168,000","812,000","2,850,000","25,858","4,189,000,000"
25,817,"38,900","31,800,000","178,000","792,000","2,850,000","25,892","4,557,000,000"
26,822,"38,700","31,800,000","189,000","771,000","2,750,000","25,844","4,807,000,000"
27,820,"38,800","31,800,000","201,000","659,000","2,650,000","26,142","5,150,000,000"
28,70,"5,600","390,000","19,000","5,000","48,000","21,526","409,000,000"
29,69,"5,500","380,000","20,000","5,000","50,000","22,105","420,000,000"
30,69,"5,500","380,000","19,500","4,500","47,000","22,474","427,000,000"
31,69,"5,500","380,000","19,500","5,500","49,000","22,526","428,000,000"
32,69,"5,500","380,000","19,000","5,000","47,000","23,053","438,000,000"
33,221,"2,350","520,000","5,000","2,500","16,000","19,100","95,500,000"
34,230,"2,300","530,000","5,000","2,500","17,000","18,560","92,800,000"
35,230,"2,300","530,000","4,500","2,000","15,000","19,063","91,500,000"
36,230,"2,300","530,000","3,800","2,200","15,000","17,976","73,700,000"
37,230,"2,300","530,000","3,700","1,800","13,000","18,553","70,500,000"
38,202,"47,600","9,600,000","122,000","908,000","1,700,000","20,293","2,496,000,000"
39,204,"47,600","9,700,000","124,000","886,000","1,630,000","20,129","2,496,000,000"
40,204,"47,500","9,700,000","116,000","914,000","1,680,000","19,833","2,380,000,000"
41,205,"47,400","9,700,000","116,000","904,000","1,680,000","20,224","2,346,000,000"
42,204,"47,500","9,700,000","111,000","929,000","1,690,000","20,257","2,289,000,000"
43,234,"42,700","10,000,000","83,000","497,000","1,100,000","21,786","1,830,000,000"
44,236,"42,400","10,000,000","85,000","485,000","1,060,000","21,905","1,840,000,000"
45,243,"41,600","10,100,000","81,000","499,000","1,070,000","21,277","1,766,000,000"
46,246,"41,500","10,200,000","81,000","519,000","1,090,000","21,598","1,771,000,000"
47,246,"41,400","10,200,000","81,000","509,000","1,090,000","21,877","1,772,000,000"
48,151,"7,300","1,100,000","2,400","73,600","142,000","14,542","34,900,000"
49,151,"7,300","1,100,000","2,000","75,000","144,000","16,913","38,900,000"
50,151,"7,300","1,100,000","1,500","75,500","142,000","16,950","33,900,000"
51,466,"24,900","11,600,000","600,000","500,000","2,370,000","24,647","14,665,000,000"
52,468,"25,000","11,700,000","600,000","510,000","2,420,000","24,388","14,633,000,000"
53,468,"24,800","11,600,000","614,000","506,000","2,500,000","24,870","15,146,000,000"
54,467,"24,600","11,500,000","640,000","490,000","2,470,000","25,011","15,632,000,000"
55,467,"24,600","11,500,000","646,000","474,000","2,500,000","25,180","16,241,000,000"
56,367,"73,500","27,000,000","93,000","387,000","1,210,000","20,340","1,912,000,000"
57,371,"72,700","27,000,000","93,000","397,000","1,150,000","20,742","1,929,000,000"
58,375,"72,000","27,000,000","85,000","405,000","1,190,000","20,867","1,878,000,000"
59,378,"71,400","27,000,000","82,000","378,000","1,090,000","20,810","1,748,000,000"
60,380,"71,100","27,000,000","84,000","356,000","1,050,000","21,530","1,787,000,000"
61,260,"57,400","14,900,000","185,000","210,000","880,000","22,527","4,145,000,000"
62,265,"56,600","15,000,000","187,000","208,000","860,000","22,754","4,255,000,000"
63,267,"56,100","15,000,000","181,000","204,000","880,000","22,754","4,164,000,000"
64,266,"56,000","14,900,000","176,000","194,000","840,000","22,899","4,076,000,000"
65,267,"55,500","14,800,000","191,000","194,000","850,000","23,661","4,330,000,000"
66,354,"86,400","30,600,000","215,000","965,000","3,900,000","23,634","5,034,000,000"
67,355,"86,100","30,600,000","220,000","950,000","4,000,000","23,757","5,179,000,000"
68,356,"86,000","30,600,000","220,000","930,000","3,950,000","23,955","5,270,000,000"
69,359,"85,300","30,600,000","215,000","905,000","3,850,000","24,271","5,291,000,000"
70,360,"85,000","30,600,000","220,000","890,000","3,650,000","24,651","5,374,000,000"
71,779,"58,800","45,800,000","150,000","1,570,000","6,400,000","22,801","3,329,000,000"
72,782,"58,600","45,800,000","156,000","1,504,000","6,300,000","23,020","3,499,000,000"
73,778,"58,900","45,800,000","161,000","1,529,000","6,400,000","23,321","3,708,000,000"
74,781,"58,500","45,700,000","167,000","1,443,000","6,400,000","23,429","3,819,000,000"
75,784,"58,300","45,700,000","173,000","1,477,000","6,500,000","23,694","4,028,000,000"
76,171,"76,100","13,000,000","57,000","1,023,000","2,170,000","18,052","1,047,000,000"
77,171,"76,000","13,000,000","57,000","1,033,000","2,160,000","18,607","1,042,000,000"
78,172,"75,100","12,900,000","53,000","1,017,000","2,130,000","18,345","1,009,000,000"
79,172,"74,800","12,900,000","49,000","1,021,000","2,110,000","18,840","942,000,000"
80,173,"74,500","12,900,000","47,000","983,000","2,090,000","19,542","938,000,000"
81,291,"27,500","8,000,000","12,000","448,000","780,000","14,167","170,000,000"
82,292,"27,400","8,000,000","12,000","473,000","820,000","13,417","161,000,000"
83,292,"27,400","8,000,000","11,000","459,000","800,000","13,818","152,000,000"
84,292,"27,400","8,000,000","10,000","455,000","780,000","13,500","135,000,000"
85,292,"27,400","8,000,000","10,000","445,000","775,000","13,400","134,000,000"
86,160,"12,500","2,000,000","47,000","43,000","186,000","20,021","961,000,000"
87,161,"12,400","2,000,000","47,000","46,000","193,000","19,917","956,000,000"
88,161,"12,400","2,000,000","44,000","50,000","197,000","20,556","925,000,000"
89,161,"12,400","2,000,000","42,000","47,000","179,000","19,535","840,000,000"
90,161,"12,400","2,000,000","43,000","45,000","177,000","20,905","878,000,000"
91,68,"7,300","500,000","11,500","6,500","38,000","18,417","221,000,000"
92,68,"7,200","490,000","11,500","6,500","38,000","17,583","211,000,000"
93,69,"7,200","500,000","10,500","7,000","37,000","18,364","202,000,000"
94,69,"7,200","500,000","10,000","5,500","34,000","19,300","193,000,000"
95,69,"7,200","500,000","10,000","7,000","37,000","19,900","199,000,000"
96,201,"48,700","9,800,000","425,000","120,000","1,180,000","25,957","10,876,000,000"
97,206,"47,600","9,800,000","428,000","102,000","1,160,000","26,302","11,231,000,000"
98,209,"47,000","9,800,000","422,000","108,000","1,160,000","26,409","11,171,000,000"
99,209,"47,000","9,800,000","427,000","93,000","1,150,000","26,725","11,385,000,000"
100,211,"46,500","9,800,000","440,000","100,000","1,140,000","27,170","11,683,000,000"
101,367,"69,800","25,600,000","460,000","370,000","2,410,000","20,967","9,666,000,000"
102,371,"68,800","25,500,000","455,000","365,000","2,350,000","21,544","9,867,000,000"
103,372,"68,500","25,500,000","450,000","370,000","2,320,000","21,784","9,868,000,000"
104,375,"68,000","25,500,000","445,000","365,000","2,260,000","22,147","9,922,000,000"
105,376,"67,500","25,400,000","455,000","345,000","2,140,000","22,705","10,149,000,000"
106,296,"35,500","10,500,000","9,000","476,000","890,000","14,300","143,000,000"
107,297,"35,000","10,400,000","9,000","501,000","930,000","15,222","137,000,000"
108,300,"34,700","10,400,000","8,000","477,000","900,000","14,333","129,000,000"
109,301,"34,500","10,400,000","8,000","482,000","920,000","15,750","126,000,000"
110,302,"34,400","10,400,000","8,000","482,000","920,000","16,375","131,000,000"
111,292,"95,600","27,900,000","85,000","2,035,000","4,300,000","14,847","1,262,000,000"
112,292,"95,300","27,800,000","84,000","2,086,000","4,350,000","14,600","1,241,000,000"
113,292,"95,000","27,700,000","81,000","2,059,000","4,250,000","14,386","1,194,000,000"
114,290,"95,200","27,600,000","77,000","2,083,000","4,300,000","14,103","1,100,000,000"
115,289,"95,000","27,500,000","75,000","2,035,000","4,300,000","14,276","1,085,000,000"
116,"2,131","27,400","58,400,000","14,000","1,486,000","2,650,000","21,071","295,000,000"
117,"2,152","27,000","58,100,000","13,000","1,497,000","2,550,000","22,154","288,000,000"
118,"2,156","26,900","58,000,000","12,000","1,448,000","2,500,000","22,833","274,000,000"
119,"2,164","26,800","58,000,000","12,000","1,428,000","2,500,000","21,583","259,000,000"
120,"2,156","26,900","58,000,000","11,000","1,419,000","2,450,000","21,167","254,000,000"
121,947,"47,500","45,000,000","60,000","1,920,000","6,450,000","23,317","1,399,000,000"
122,972,"46,300","45,000,000","60,000","1,910,000","6,800,000","24,067","1,444,000,000"
123,980,"45,900","45,000,000","59,000","1,941,000","6,800,000","24,000","1,440,000,000"
124,982,"45,700","44,900,000","58,000","1,922,000","6,750,000","24,293","1,409,000,000"
125,987,"45,500","44,900,000","60,000","1,900,000","6,850,000","24,746","1,460,000,000"
126,"1,718","3,550","6,100,000","30,000","220,000","445,000","22,000","660,000,000"
127,"1,794","3,400","6,100,000","32,000","238,000","465,000","22,156","709,000,000"
128,"1,794","3,400","6,100,000","33,000","242,000","470,000","22,938","734,000,000"
129,"1,821","3,350","6,100,000","31,000","249,000","480,000","23,091","762,000,000"
130,"1,821","3,350","6,100,000","30,000","245,000","470,000","24,677","765,000,000"
131,102,"4,200","430,000","13,500","5,000","35,000","20,500","287,000,000"
132,105,"4,100","430,000","12,500","4,500","36,000","21,000","273,000,000"
133,105,"4,100","430,000","12,000","4,000","33,000","20,750","249,000,000"
134,105,"4,100","430,000","11,000","4,000","32,000","21,727","239,000,000"
135,105,"4,100","430,000","11,000","4,500","32,000","21,273","234,000,000"
136,"1,651","24,900","41,100,000","325,000","445,000","1,410,000","24,479","7,711,000,000"
137,"1,628","25,000","40,700,000","332,000","483,000","1,510,000","24,960","8,212,000,000"
138,"1,640","24,700","40,500,000","325,000","480,000","1,480,000","25,106","8,285,000,000"
139,"1,613","24,800","40,000,000","330,000","480,000","1,430,000","25,113","8,187,000,000"
140,"1,613","24,800","40,000,000","337,000","463,000","1,390,000","24,755","8,169,000,000"
141,207,"33,800","7,000,000","620,000","110,000","1,500,000",6,"142,217,000"
142,207,"33,400","6,900,000","625,000","105,000","1,480,000",5,"116,213,000"
143,207,"33,400","6,900,000","625,000","105,000","1,450,000",5,"95,289,000"
144,207,"33,400","6,900,000","625,000","105,000","1,460,000",5,"98,735,000"
145,207,"33,400","6,900,000","625,000","95,000","1,420,000",4,"40,978,000"
146,180,"77,900","14,000,000","262,000","288,000","1,300,000","21,140","5,602,000,000"
147,180,"77,800","14,000,000","264,000","296,000","1,300,000","21,284","5,619,000,000"
148,179,"77,800","13,900,000","253,000","307,000","1,310,000","21,359","5,532,000,000"
149,175,"77,800","13,600,000","252,000","298,000","1,290,000","21,614","5,425,000,000"
150,175,"77,800","13,600,000","258,000","302,000","1,260,000","22,118","5,618,000,000"
151,434,"79,100","34,300,000","37,000","2,093,000","5,000,000","18,703","692,000,000"
152,436,"78,500","34,200,000","42,000","2,088,000","5,100,000","18,200","728,000,000"
153,442,"77,300","34,200,000","40,000","2,150,000","5,300,000","18,125","725,000,000"
154,445,"77,300","34,400,000","41,000","2,109,000","5,150,000","17,829","731,000,000"
155,445,"77,300","34,400,000","41,000","2,189,000","5,300,000","17,452","733,000,000"
156,431,"37,100","16,000,000","124,000","546,000","1,320,000","20,744","2,593,000,000"
157,426,"37,600","16,000,000","124,000","536,000","1,270,000","20,395","2,529,000,000"
158,430,"37,200","16,000,000","125,000","535,000","1,310,000","20,577","2,531,000,000"
159,425,"37,200","15,800,000","127,000","533,000","1,280,000","20,913","2,635,000,000"
160,425,"37,200","15,800,000","125,000","525,000","1,250,000","21,032","2,629,000,000"
161,134,"54,300","7,300,000","525,000","185,000","1,620,000",3,"184,407,000"
162,137,"53,200","7,300,000","525,000","215,000","1,620,000",4,"183,766,000"
163,138,"53,000","7,300,000","505,000","225,000","1,600,000",6,"181,158,000"
164,139,"52,700","7,300,000","480,000","220,000","1,520,000",4,"181,435,000"
165,139,"52,700","7,300,000","475,000","215,000","1,430,000",3,"184,283,000"
166,156,"69,900","10,900,000","41,000","909,000","1,830,000","16,571","696,000,000"
167,156,"70,000","10,900,000","40,000","910,000","1,830,000","17,325","693,000,000"
168,156,"70,000","10,900,000","36,000","914,000","1,800,000","17,135","634,000,000"
169,155,"69,700","10,800,000","31,000","909,000","1,810,000","17,219","551,000,000"
170,155,"69,500","10,800,000","30,000","900,000","1,790,000","18,067","542,000,000"
171,513,"248,500","127,500,000","500,000","4,450,000","12,300,000","22,585","10,773,000,000"
172,511,"248,500","127,000,000","530,000","4,520,000","12,500,000","23,406","12,054,000,000"
173,514,"247,000","127,000,000","545,000","4,655,000","13,000,000","23,948","12,860,000,000"
174,512,"247,000","126,500,000","580,000","4,570,000","12,900,000","24,513","13,850,000,000"
175,510,"247,000","126,000,000","615,000","4,685,000","13,100,000","24,926","14,831,000,000"
176,590,"18,300","10,800,000","92,000","338,000","820,000","22,989","2,092,000,000"
177,587,"18,400","10,800,000","97,000","338,000","790,000","23,073","2,215,000,000"
178,591,"18,100","10,700,000","100,000","340,000","810,000","23,220","2,322,000,000"
179,601,"17,800","10,700,000","97,000","358,000","820,000","23,061","2,260,000,000"
180,601,"17,800","10,700,000","95,000","345,000","800,000","23,198","2,227,000,000"
181,174,"6,900","1,200,000","129,000","14,000","260,000","20,977","2,727,000,000"
182,176,"6,800","1,200,000","128,000","15,000","260,000","21,155","2,729,000,000"
183,176,"6,800","1,200,000","126,000","14,000","255,000","21,126","2,683,000,000"
184,176,"6,800","1,200,000","124,000","13,000","250,000","21,405","2,697,000,000"
185,176,"6,800","1,200,000","120,000","14,000","245,000","21,328","2,602,000,000"
186,180,"43,900","7,900,000","87,000","643,000","1,520,000","19,144","1,723,000,000"
187,181,"43,200","7,800,000","87,000","633,000","1,480,000","19,954","1,736,000,000"
188,184,"42,500","7,800,000","79,000","631,000","1,440,000","19,699","1,635,000,000"
189,184,"42,400","7,800,000","74,000","626,000","1,450,000","19,867","1,490,000,000"
190,184,"42,300","7,800,000","75,000","595,000","1,390,000","20,293","1,522,000,000"
191,408,"36,000","14,700,000","275,000","225,000","1,150,000","24,094","6,650,000,000"
192,411,"35,800","14,700,000","275,000","235,000","1,160,000","23,836","6,531,000,000"
193,412,"35,700","14,700,000","280,000","230,000","1,180,000","24,318","6,736,000,000"
194,410,"35,600","14,600,000","282,000","228,000","1,200,000","24,225","6,783,000,000"
195,411,"35,500","14,600,000","279,000","221,000","1,140,000","24,346","6,817,000,000"
196,155,"23,200","3,600,000","8,000","207,000","405,000","14,889","134,000,000"
197,157,"23,600","3,700,000","7,000","203,000","395,000","15,875","127,000,000"
198,154,"23,400","3,600,000","7,000","198,000","390,000","15,857","111,000,000"
199,153,"22,900","3,500,000","6,000","199,000","395,000","15,000","90,000,000"
200,154,"22,800","3,500,000","5,000","190,000","375,000","14,833","89,000,000"
201,219,"65,700","14,400,000","1,280,000","290,000","3,550,000","23,542","30,110,000,000"
202,221,"64,800","14,300,000","1,275,000","285,000","3,500,000","23,735","30,333,000,000"
203,221,"64,800","14,300,000","1,270,000","290,000","3,450,000","24,002","30,579,000,000"
204,220,"64,900","14,300,000","1,260,000","310,000","3,450,000","24,123","30,588,000,000"
205,222,"64,400","14,300,000","1,260,000","310,000","3,450,000","24,408","30,730,000,000"
206,"2,442","12,000","29,300,000","6,000","714,000","1,330,000","23,300","139,800,000"
207,"2,437","11,900","29,000,000","6,000","714,000","1,320,000","23,033","138,200,000"
208,"2,437","11,900","29,000,000","6,000","714,000","1,300,000","23,700","142,200,000"
209,"2,417","12,000","29,000,000","6,000","724,000","1,320,000","24,433","146,600,000"
210,"2,417","12,000","29,000,000","8,000","702,000","1,300,000","25,173","188,800,000"
